block,source_column,level,is_reference_level,coefficient,n_obs_at_level
model_fit,specialty,r_squared,False,0.08585209357295509,390473
model_fit,specialty,adj_r_squared,False,0.0856272892842258,390473
model_fit,specialty,rss,False,727415761496.9479,390473
model_fit,specialty,rmse,False,1365.053895407588,390473
model_fit,specialty,n_params,False,97.0,390473
model_fit,specialty,iterations,False,2.0,390473
model_fit,specialty,normal_eq_max_abs,False,7.153626029321458e-07,390473
model_fit,city,r_squared,False,0.0032428113694473737,390473
model_fit,city,adj_r_squared,False,0.002668123114465626,390473
model_fit,city,rss,False,793150522248.7919,390473
model_fit,city,rmse,False,1425.633922447445,390473
model_fit,city,n_params,False,226.0,390473
model_fit,city,iterations,False,2.0,390473
model_fit,city,normal_eq_max_abs,False,1.0395569915999658e-07,390473
model_fit,generic,r_squared,False,0.9293765762910098,390473
model_fit,generic,adj_r_squared,False,0.9291632343962002,390473
model_fit,generic,rss,False,56197242454.54647,390473
model_fit,generic,rmse,False,379.9421991503576,390473
model_fit,generic,n_params,False,1177.0,390473
model_fit,generic,iterations,False,2.0,390473
model_fit,generic,normal_eq_max_abs,False,6.901683402560366e-08,390473
model_fit,specialty + city,r_squared,False,0.08648419013382513,390473
model_fit,specialty + city,adj_r_squared,False,0.08573258735703604,390473
model_fit,specialty + city,rss,False,726912782714.2671,390473
model_fit,specialty + city,rmse,False,1364.9752941538632,390473
model_fit,specialty + city,n_params,False,322.0,390473
model_fit,specialty + city,iterations,False,29.0,390473
model_fit,specialty + city,normal_eq_max_abs,False,3.5691800803761e-07,390473
model_fit,specialty + generic,r_squared,False,0.9295631596247688,390473
model_fit,specialty + generic,adj_r_squared,False,0.9293329549460502,390473
model_fit,specialty + generic,rss,False,56048772325.30953,390473
model_fit,specialty + generic,rmse,False,379.4867670758592,390473
model_fit,specialty + generic,n_params,False,1273.0,390473
model_fit,specialty + generic,iterations,False,101.0,390473
model_fit,specialty + generic,normal_eq_max_abs,False,2.2570949909095361e-07,390473
model_fit,city + generic,r_squared,False,0.9294452108984765,390473
model_fit,city + generic,adj_r_squared,False,0.9291911512036362,390473
model_fit,city + generic,rss,False,56142627774.68514,390473
model_fit,city + generic,rmse,False,379.86732406000203,390473
model_fit,city + generic,n_params,False,1402.0,390473
model_fit,city + generic,iterations,False,11.0,390473
model_fit,city + generic,normal_eq_max_abs,False,1.3446356206259225e-07,390473
model_fit,specialty + city + generic,r_squared,False,0.9296253955796309,390473
model_fit,specialty + city + generic,adj_r_squared,False,0.9293545535388383,390473
model_fit,specialty + city + generic,rss,False,55999249251.22026,390473
model_fit,specialty + city + generic,rmse,False,379.4287696987008,390473
model_fit,specialty + city + generic,n_params,False,1498.0,390473
model_fit,specialty + city + generic,iterations,False,101.0,390473
model_fit,specialty + city + generic,normal_eq_max_abs,False,2.1535950622819655e-07,390473
variance_explained,generic,n_levels,False,1177.0,390473
variance_explained,generic,own_r_squared,False,0.9293765762910098,390473
variance_explained,generic,adj_own_r_squared,False,0.9291632343962002,390473
variance_explained,generic,r_squared_other_two,False,0.08648419013382513,390473
variance_explained,generic,incremental_r_squared,False,0.8431412054458057,390473
variance_explained,generic,pct_of_full_model_r2_own,False,99.9732344566097,390473
variance_explained,specialty,n_levels,False,97.0,390473
variance_explained,specialty,own_r_squared,False,0.08585209357295509,390473
variance_explained,specialty,adj_own_r_squared,False,0.0856272892842258,390473
variance_explained,specialty,r_squared_other_two,False,0.9294452108984765,390473
variance_explained,specialty,incremental_r_squared,False,0.00018018468115432729,390473
variance_explained,specialty,pct_of_full_model_r2_own,False,9.235127824732611,390473
variance_explained,city,n_levels,False,226.0,390473
variance_explained,city,own_r_squared,False,0.0032428113694473737,390473
variance_explained,city,adj_own_r_squared,False,0.002668123114465626,390473
variance_explained,city,r_squared_other_two,False,0.9295631596247688,390473
variance_explained,city,incremental_r_squared,False,6.223595486209987e-05,390473
variance_explained,city,pct_of_full_model_r2_own,False,0.3488299034070006,390473
model_fit,specialty + city + generic,n_obs,False,390473.0,390473
model_fit,specialty + city + generic,total_sum_of_squares,False,795730927547.6643,390473
intercept,,(Intercept),False,-59.15534658782599,390473
specialty,Prscrbr_Type,Addiction Medicine,True,0.0,40
specialty,Prscrbr_Type,Adult Congenital Heart Disease,False,53.07771729014263,82
specialty,Prscrbr_Type,Advanced Heart Failure and Transplant Cardiology,False,58.48825204248449,239
specialty,Prscrbr_Type,Allergy/ Immunology,False,-114.71986949264074,976
specialty,Prscrbr_Type,Anesthesiology,False,27.742585747880625,302
specialty,Prscrbr_Type,Cardiac Surgery,False,20.709865755282536,10
specialty,Prscrbr_Type,Cardiology,False,49.080520446230764,6222
specialty,Prscrbr_Type,Certified Clinical Nurse Specialist,False,53.77304895109893,723
specialty,Prscrbr_Type,Certified Nurse Midwife,False,33.80404876026136,75
specialty,Prscrbr_Type,Certified Registered Nurse Anesthetist (CRNA),False,33.59608146016546,115
specialty,Prscrbr_Type,Clinic/Center,False,13.712365891548508,23
specialty,Prscrbr_Type,Clinical Cardiac Electrophysiology,False,64.90311601145251,956
specialty,Prscrbr_Type,Colorectal Surgery (Proctology),False,13.09018278189696,61
specialty,Prscrbr_Type,Counselor,False,39.44299962862209,2
specialty,Prscrbr_Type,Critical Care (Intensivists),False,133.811250158194,1065
specialty,Prscrbr_Type,Dental Hygienist,False,19.806464043232324,2
specialty,Prscrbr_Type,Dentist,False,12.161707343743272,3970
specialty,Prscrbr_Type,Dermatology,False,4.162347371299514,3407
specialty,Prscrbr_Type,Diagnostic Radiology,False,14.311184288786585,15
specialty,Prscrbr_Type,Emergency Medicine,False,9.311181442940207,3932
specialty,Prscrbr_Type,Endocrinology,False,119.40398672915798,2885
specialty,Prscrbr_Type,Epileptologists,False,239.87757634776656,34
specialty,Prscrbr_Type,Family Medicine,False,8.386507322399831,422
specialty,Prscrbr_Type,Family Practice,False,20.56037496633064,112120
specialty,Prscrbr_Type,Gastroenterology,False,78.00248945610593,2305
